STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,TAVG,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT11
USC00180700,"BELTSVILLE, MD US",39.0302,-76.9315,44.2,5/1/2021,0,0,,70,46,,,,,,,,1
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,5/1/2021,0,0,,,46,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,5/1/2021,,0,,,,,,,,,,,
USC00186800,"OXON HILL, MD US",38.7955,-76.99481,57.9,5/1/2021,0,0,,72,45,,,,,,,,
USC00448737,"VIENNA, VA US",38.89205,-77.28913,118.9,5/1/2021,0,0,,68,45,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.84721,-77.03454,4.1,5/1/2021,0,0,57,69,47,,,,,,,,
USC00180700,"BELTSVILLE, MD US",39.0302,-76.9315,44.2,5/2/2021,0,0,,67,47,,,,,,,,
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,5/2/2021,0,0,,68,48,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,5/2/2021,0,0,,,,,,,,,,,
USC00186800,"OXON HILL, MD US",38.7955,-76.99481,57.9,5/2/2021,0,0,,71,46,,,,,,,,
USC00448737,"VIENNA, VA US",38.89205,-77.28913,118.9,5/2/2021,0,0,,66,45,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.84721,-77.03454,4.1,5/2/2021,0,0,66,84,54,,,,,,,,
USC00180700,"BELTSVILLE, MD US",39.0302,-76.9315,44.2,5/3/2021,0,0,,85,61,,,,,,,,
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,5/3/2021,0,0,,86,49,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,5/3/2021,0.02,0,,85,59,,,,,,,,
USC00186800,"OXON HILL, MD US",38.7955,-76.99481,57.9,5/3/2021,0.01,0,,85,55,,,,,,,,
USC00448737,"VIENNA, VA US",38.89205,-77.28913,118.9,5/3/2021,0.05,0,,82,56,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.84721,-77.03454,4.1,5/3/2021,0.06,0,70,76,65,,,,,,,1,
USC00180700,"BELTSVILLE, MD US",39.0302,-76.9315,44.2,5/4/2021,0.05,0,,75,65,,,,,,,,
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,5/4/2021,0.05,0,,75,62,,,,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,5/4/2021,0.09,0,,75,66,,,,,,,,
USC00186800,"OXON HILL, MD US",38.7955,-76.99481,57.9,5/4/2021,0.07,0,,72,65,,,,,,,,
USC00448737,"VIENNA, VA US",38.89205,-77.28913,118.9,5/4/2021,0.1,0,,71,61,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.84721,-77.03454,4.1,5/4/2021,0.48,0,73,84,66,1,,1,,,,,
USC00180700,"BELTSVILLE, MD US",39.0302,-76.9315,44.2,5/5/2021,0.13,0,,84,60,,,,,,,,
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,5/5/2021,0.4,0,,84,62,,,,,,,,
