Name,Address,Line,Train Information URL,Web URL,GIS Identifier,Master Address Repository Identifier,CREATOR,CREATED,EDITOR,EDITED
Branch Ave,"4704 OLD SOPER ROAD, SUITLAND, MD",green,https://www.wmata.com/js/nexttrain/nexttrain.html#F11|Branch Ave,https://www.wmata.com/rider-guide/stations/branch-ave.cfm,MetroStnFullPt_35,,JLAY,"11/30/2022, 3:32 PM",JLAY,"11/30/2022, 3:32 PM"
Braddock Road,"700 N. WEST ST., ALEXANDRIA, VA","blue, yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#C12|Braddock Road,https://www.wmata.com/rider-guide/stations/braddock-rd.cfm,MetroStnFullPt_36,,JLAY,"11/30/2022, 3:32 PM",JLAY,"11/30/2022, 3:32 PM"
King St-Old Town,"1900 KING STREET, ALEXANDRIA, VA","blue, yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#C13|King St-Old Town,https://www.wmata.com/rider-guide/stations/king-street.cfm,MetroStnFullPt_37,,JLAY,"11/30/2022, 3:32 PM",JLAY,"11/30/2022, 3:32 PM"
Eisenhower Ave,"2400 EISENHOWER AVENUE, ALEXANDRIA, VA",yellow,https://www.wmata.com/js/nexttrain/nexttrain.html#C14|Eisenhower Avenue,https://www.wmata.com/rider-guide/stations/eisenhower-ave.cfm,MetroStnFullPt_38,,JLAY,"11/30/2022, 3:32 PM",JLAY,"11/30/2022, 3:32 PM"
Huntington,"2701 HUNTINGTON AVENUE, ALEXANDRIA, VA",yellow,https://www.wmata.com/js/nexttrain/nexttrain.html#C15|Huntington,https://www.wmata.com/rider-guide/stations/huntington.cfm,MetroStnFullPt_39,,JLAY,"11/30/2022, 3:32 PM",JLAY,"11/30/2022, 3:32 PM"
Anacostia,"1101 HOWARD ROAD SE, WASHINGTON, DC",green,https://www.wmata.com/js/nexttrain/nexttrain.html#F06|Anacostia,https://www.wmata.com/rider-guide/stations/anacostia.cfm,MetroStnFullPt_40,"294,866",JLAY,"11/30/2022, 3:32 PM",JLAY,"11/30/2022, 3:32 PM"
Eastern Market,"725 PENNSYLVANIA AVENUE SE, WASHINGTON, DC","blue, orange, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#D06|Eastern Market,https://www.wmata.com/rider-guide/stations/eastern-market.cfm,MetroStnFullPt_41,"316,432",JLAY,"11/30/2022, 3:32 PM",JLAY,"11/30/2022, 3:32 PM"
Potomac Ave,"1400 POTOMAC AVENUE SE, WASHINGTON, DC","blue, orange, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#D07|Potomac Ave,https://www.wmata.com/rider-guide/stations/potomac-ave.cfm,MetroStnFullPt_42,"316,349",JLAY,"11/30/2022, 3:32 PM",JLAY,"11/30/2022, 3:32 PM"
Stadium-Armory,"290 19TH STREET SE, WASHINGTON, DC","blue, orange, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#D08|Stadium-Armory,https://www.wmata.com/rider-guide/stations/stadium-armory.cfm,MetroStnFullPt_43,"316,351",JLAY,"11/30/2022, 3:32 PM",JLAY,"11/30/2022, 3:32 PM"
Rhode Island Ave-Brentwood,"801 RHODE ISLAND AVENUE NE, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B04|Rhode%20Island%20Ave-Brentwood,https://www.wmata.com/rider-guide/stations/rhode-island-ave.cfm,MetroStnFullPt_44,"316,413",JLAY,"11/30/2022, 3:32 PM",JLAY,"11/30/2022, 3:32 PM"
